Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Klebsiella quasivariicola	17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Xanthomonas translucens	17	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
uncultured Methylococcus sp.	17	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus
Streptomyces lunaelactis	17	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces
Acinetobacter radioresistens	17	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Burkholderia lata	17	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Acinetobacter johnsonii	17	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Elizabethkingia miricola	17	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia
Candidatus Fonsibacter lacus	17	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	NA	Candidatus Fonsibacter
Pseudomonas helleri	17	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Anaplasma marginale	17	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma
Schizosaccharomyces pombe	17	Eukaryota	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Caldicellulosiruptor bescii	17	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor
Escherichia marmotae	16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
Ruminococcus lactaris	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter
Pectobacterium polaris	16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium
uncultured Sphingomonas sp.	16	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Pantoea dispersa	16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Parachlamydiales bacterium	16	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	NA	NA
Edwardsiella tarda	16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella
Lysinibacillus fusiformis	16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
Roseovarius sp.	16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius
Burkholderia dolosa	16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Sphingobacteriaceae bacterium	16	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	NA
Caulobacteraceae bacterium	16	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA
Verrucomicrobiae bacterium	16	Bacteria	Verrucomicrobia	Verrucomicrobiae	NA	NA	NA
Leuconostoc lactis	16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
Trypanosoma cruzi	16	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma
Erysipelothrix sp.	16	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix
Acidithiobacillus thiooxidans	16	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
Acidithiobacillus caldus	16	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
Nitrospinaceae bacterium	16	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	NA
Helicobacter pullorum	16	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Megasphaera sp.	16	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Actinomyces sp.	16	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces
Bradyrhizobium canariense	16	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
uncultured Francisellaceae bacterium	16	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	NA
Methanocorpusculum sp.	16	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum
Faecalicatena sp.	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena
Dehalococcoides mccartyi	16	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides
Chromatiaceae bacterium	16	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA
Burkholderia diffusa	16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
uncultured Olsenella sp.	16	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
uncultured Butyricicoccus sp.	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Butyricicoccus
Pseudomonas lactis	16	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Nitratifractor sp.	16	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Nitratifractor
uncultured Planctomycetales bacterium	16	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA
uncultured Thiodictyon sp.	16	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiodictyon
Pantoea brenneri	16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Bartonella henselae	16	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella
Thermococci archaeon	16	Archaea	Euryarchaeota	Thermococci	NA	NA	NA
Puccinia triticina	16	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia
uncultured marine group I thaumarchaeote	16	Archaea	Thaumarchaeota	NA	NA	NA	NA
Comamonas thiooxydans	16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
Histophilus somni	16	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus
Legionella taurinensis	16	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Halobacteriovoraceae bacterium	15	Bacteria	Proteobacteria	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	NA
Arcobacter sp.	15	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
Ruminococcus torques	15	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter
Veillonella atypica	15	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Nitrosarchaeum sp.	15	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum
Rothia dentocariosa	15	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia
Serratia symbiotica	15	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
uncultured Methylococcales bacterium	15	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	NA	NA
uncultured Rhodobiaceae bacterium	15	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	NA
Prevotella intermedia	15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Rothia kristinae	15	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia
Paraclostridium bifermentans	15	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Paraclostridium
Reyranella sp.	15	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Reyranellaceae	Reyranella
Syntrophobacterales bacterium	15	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	NA	NA
Lysinibacillus sphaericus	15	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
Rhodanobacter sp.	15	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter
Candidatus Yanofskybacteria bacterium	15	Bacteria	Candidatus Yanofskybacteria	NA	NA	NA	NA
Candidatus Doudnabacteria bacterium	15	Bacteria	Candidatus Doudnabacteria	NA	NA	NA	NA
Pseudomonas alcaligenes	15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Cellvibrionales bacterium	15	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	NA	NA
Bacillus sp. 	15	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Mycoplasmopsis anatis	15	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmopsis
Chryseobacterium sp.	15	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Staphylococcus pasteuri	15	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Oceanospirillales bacterium	15	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
Eubacteriales bacterium	15	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Kocuria rhizophila	15	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria
DPANN group archaeon	15	Archaea	NA	NA	NA	NA	NA
Pyramidobacter sp.	15	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter
Alloprevotella sp.	15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
Eikenella corrodens	15	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
uncultured Mycoplasma sp.	15	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
Pseudomonas asiatica	15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Ligilactobacillus agilis	15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
Candidatus Verstraetearchaeota archaeon	15	Archaea	Candidatus Verstraetearchaeota	NA	NA	NA	NA
Hordeum vulgare	15	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Hordeum
Nitrosopumilales archaeon	15	Archaea	Thaumarchaeota	NA	Nitrosopumilales	NA	NA
uncultured Selenomonadales bacterium	15	Bacteria	Firmicutes	Negativicutes	Selenomonadales	NA	NA
uncultured Lachnospira sp.	15	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira
Robiginitomaculum sp.	15	Bacteria	Proteobacteria	Alphaproteobacteria	Maricaulales	Robiginitomaculaceae	Robiginitomaculum
Geobacter sp.	15	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
Pseudomonas mendocina	15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Archaeoglobaceae archaeon	15	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	NA
uncultured Thiotrichales bacterium	15	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA
Candidatus Fonsibacter ubiquis	15	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	NA	Candidatus Fonsibacter
Rodentibacter pneumotropicus	15	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter
Microbotryum violaceum	15	Eukaryota	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum
Brochothrix thermosphacta	15	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix
Acetobacter pasteurianus	15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Ureaplasma urealyticum	15	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma
Photobacterium leiognathi	15	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
Mesorhizobium loti	15	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
Micavibrio sp.	14	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Micavibrio
Caldilineaceae bacterium	14	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	NA
Clostridium scindens	14	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
Cytobacillus firmus	14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cytobacillus
Rossellomorea aquimaris	14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Rossellomorea
Clostridium algidicarnis	14	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Dickeya solani	14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya
Megasphaera micronuciformis	14	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Neisseria elongata	14	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Candidatus Melainabacteria bacterium	14	Bacteria	Candidatus Melainabacteria	NA	NA	NA	NA
Vibrio diabolicus	14	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Parvibaculum sp.	14	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Parvibaculaceae	Parvibaculum
Candidatus Babeliales bacterium	14	Bacteria	NA	Candidatus Babeliae	Candidatus Babeliales	NA	NA
Myxococcota bacterium	14	Bacteria	Myxococcota	NA	NA	NA	NA
uncultured Clostridiaceae bacterium	14	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	NA
Ignavibacteriaceae bacterium	14	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	NA
Bacillaceae bacterium	14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
Ralstonia insidiosa	14	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
Bryobacteraceae bacterium	14	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	NA
Candidatus Aquarickettsia rohweri	14	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Aquarickettsia
Porphyromonadaceae bacterium	14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
Mammaliicoccus lentus	14	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus
Alistipes onderdonkii	14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Verticillium dahliae	14	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
Candidatus Altiarchaeota archaeon	14	Archaea	Candidatus Altiarchaeota	NA	NA	NA	NA
Subdoligranulum variabile	14	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum
Borreliella valaisiana	14	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
Pseudomonas oleovorans	14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Helicobacter suis	14	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Succinivibrio sp.	14	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
Aphanizomenon flos-aquae	14	Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Aphanizomenon
Devosia sp.	14	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia
Sphingobacteriia bacterium	14	Bacteria	Bacteroidetes	Sphingobacteriia	NA	NA	NA
Leclercia adecarboxylata	14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia
uncultured Bifidobacterium sp.	14	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Rhodanobacteraceae bacterium	14	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA
Pluralibacter gergoviae	14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter
Variovorax sp.	14	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
uncultured Candidatus Woesearchaeota archaeon	14	Archaea	Candidatus Woesearchaeota	NA	NA	NA	NA
uncultured Spirochaetes bacterium	14	Bacteria	Spirochaetes	NA	NA	NA	NA
uncultured Methylobacter sp.	14	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
Yersinia mollaretii	14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Ruminococcus flavefaciens	14	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Pandoraea apista	14	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
Xanthomonas vesicatoria	14	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
Orientia tsutsugamushi	14	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia
Candidatus Sedimenticola endophacoides	14	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Sedimenticola
Methylobacteriaceae bacterium	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA
Candidatus Delongbacteria bacterium	13	Bacteria	Candidatus Delongbacteria	NA	NA	NA	NA
Candidatus Peribacteria bacterium	13	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria	NA	NA	NA
Leptospiraceae bacterium	13	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	NA
sponge metagenome	13	NA	NA	NA	NA	NA	NA
Fusobacterium periodonticum	13	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Rubrobacter sp.	13	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter
Rhizobium sp.	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
Anaerolinea sp.	13	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
uncultured Colwellia sp.	13	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
uncultured Woeseiaceae bacterium	13	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	NA
Mameliella alba	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Mameliella
Corynebacterium amycolatum	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Aggregatibacter aphrophilus	13	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Thermoanaerobaculia bacterium	13	Bacteria	Acidobacteria	Thermoanaerobaculia	NA	NA	NA
uncultured Odoribacter sp.	13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
Candidatus Kapabacteria bacterium	13	Bacteria	Candidatus Kapabacteria	NA	NA	NA	NA
Gordonia paraffinivorans	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	Gordonia
Bacteriovoracaceae bacterium	13	Bacteria	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	NA
Mycobacteriaceae bacterium	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	NA
Woeseia sp.	13	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia
Aspergillus oryzae	13	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Proteus terrae	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Proteus vulgaris	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Pseudonocardiales bacterium	13	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	NA	NA
Sinobacteraceae bacterium	13	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	NA
Rhodococcus opacus	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
Staphylococcus nepalensis	13	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Clostridium innocuum	13	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Holdemanella biformis	13	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
Candidatus Thiodiazotropha sp. 	13	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Thiodiazotropha
Cycloclasticus sp.	13	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus
Citrobacter cronae	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Acidithiobacillus ferrooxidans	13	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
Candidatus Riflebacteria bacterium	13	Bacteria	Candidatus Riflebacteria	NA	NA	NA	NA
Pseudoalteromonas sp.	13	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
Clostridium spiroforme	13	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Veillonella dispar	13	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Bifidobacterium catenulatum	13	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Enterobacteriaceae bacterium	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Actinomycetaceae bacterium	13	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	NA
Campylobacter vulpis	13	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Erysipelotrichia bacterium	13	Bacteria	Firmicutes	Erysipelotrichia	NA	NA	NA
Bradyrhizobium elkanii	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
Vibrio cyclitrophicus	13	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Barnesiella sp.	13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
Lactobacillus sp.	13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Neorhizobium galegae	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Neorhizobium
uncultured Selenomonadaceae bacterium	13	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	NA
Corallococcus exiguus	13	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
Bifidobacterium pullorum	13	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
uncultured Anaerotruncus sp.	13	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus
uncultured Lachnoclostridium sp.	13	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
Staphylococcus saccharolyticus	13	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Propionivibrio sp.	13	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio
Haliea sp.	13	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea
microbial mat metagenome	13	NA	NA	NA	NA	NA	NA
Francisella orientalis	13	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
Candidatus Roizmanbacteria bacterium	13	Bacteria	Candidatus Roizmanbacteria	NA	NA	NA	NA
Pectobacterium parmentieri	13	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium
Campylobacter volucris	13	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Candidatus Geothermarchaeota archaeon	13	Archaea	Candidatus Geothermarchaeota	NA	NA	NA	NA
Hortaea werneckii	13	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea
Brevibacterium aurantiacum	13	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium
Vibrio mimicus	13	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
uncultured Anaeromyxobacter sp.	13	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
uncultured Agathobacter sp.	13	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Agathobacter
Desulfobulbus sp.	13	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus
Candidatus Campbellbacteria bacterium	13	Bacteria	Candidatus Campbellbacteria	NA	NA	NA	NA
seawater metagenome	13	NA	NA	NA	NA	NA	NA
synthetic metagenome	13	NA	NA	NA	NA	NA	NA
feces metagenome	13	NA	NA	NA	NA	NA	NA
Nocardia seriolae	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia
Aliarcobacter cryaerophilus	13	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Aliarcobacter
Pseudoalteromonas ruthenica	13	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
