Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Chloroflexia bacterium	21	Bacteria	Chloroflexi	Chloroflexia	NA	NA	NA
uncultured Acidaminococcus sp.	21	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
Veillonellaceae bacterium	21	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	NA
Candidatus Competibacteraceae bacterium	21	Bacteria	Proteobacteria	Gammaproteobacteria	NA	Candidatus Competibacteraceae	NA
Corynebacterium ulcerans	21	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Methylophaga sp.	21	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
Saprospirales bacterium	21	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	NA	NA
Staphylococcus schleiferi	21	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Flavobacterium columnare	21	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Candidatus Aerophobetes bacterium	21	Bacteria	Candidatus Aerophobetes	NA	NA	NA	NA
uncultured Methylocystaceae bacterium	21	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	NA
hot springs metagenome	21	NA	NA	NA	NA	NA	NA
Desulfurococcaceae archaeon	21	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
Apilactobacillus micheneri	21	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus
Wallemia ichthyophaga	21	Eukaryota	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia
Bacillus halotolerans	20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Serratia liquefaciens	20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Parabacteroides merdae	20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Enterococcus mundtii	20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Dechloromonas sp.	20	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas
Candidatus Shapirobacteria bacterium	20	Bacteria	Candidatus Shapirobacteria	NA	NA	NA	NA
Candidatus Berkelbacteria bacterium	20	Bacteria	Candidatus Berkelbacteria	NA	NA	NA	NA
Bacillus wiedmannii	20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Faecalibacterium sp.	20	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium
uncultured Haemophilus sp.	20	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Pseudomonas monteilii	20	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Synergistales bacterium	20	Bacteria	Synergistetes	Synergistia	Synergistales	NA	NA
Chthoniobacterales bacterium	20	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	NA	NA
Apilactobacillus kunkeei	20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus
Thermoflexales bacterium	20	Bacteria	Chloroflexi	Thermoflexia	Thermoflexales	NA	NA
Desulfuromonadales bacterium	20	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	NA	NA
Citrobacter farmeri	20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Candidatus Bipolaricaulota bacterium	20	Bacteria	Candidatus Bipolaricaulota	NA	NA	NA	NA
Curtobacterium flaccumfaciens	20	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Curtobacterium
Lactobacillus jensenii	20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Junonia sp. 2 JZ-2019	20	Eukaryota	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Junonia
Pseudobutyrivibrio sp.	20	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio
Chitinophagia bacterium	20	Bacteria	Bacteroidetes	Chitinophagia	NA	NA	NA
Blautia massiliensis	20	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia
Helicobacteraceae bacterium	20	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	NA
Candidatus Sumerlaeota bacterium	20	Bacteria	Candidatus Sumerlaeota	NA	NA	NA	NA
Elizabethkingia meningoseptica	20	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia
Candidatus Buchananbacteria bacterium	20	Bacteria	Candidatus Buchananbacteria	NA	NA	NA	NA
Gemmiger formicilis	20	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	Gemmiger
Pseudomonas fragi	20	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Mycoplasma hominis	20	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
Chlamydia abortus	20	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia
Candidatus Daviesbacteria bacterium	20	Bacteria	Candidatus Daviesbacteria	NA	NA	NA	NA
Staphylococcus succinus	20	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
uncultured Pirellula sp.	20	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula
uncultured Roseiflexaceae bacterium	20	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
Methylocystaceae bacterium	20	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	NA
Vibrio coralliilyticus	20	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Streptococcus halichoeri	20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus parauberis	20	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Photobacterium kishitanii	20	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
Enterococcus avium	19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Marinobacter nauticus	19	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter
Avibacterium paragallinarum	19	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium
Chromobacterium violaceum	19	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium
Bradyrhizobium sp.	19	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
uncultured Desulfobacteraceae bacterium	19	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
Eubacterium sulci	19	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	NA
Staphylococcus delphini	19	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
uncultured Treponema sp.	19	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
uncultured Ignavibacteria bacterium	19	Bacteria	Ignavibacteriae	Ignavibacteria	NA	NA	NA
uncultured Syntrophaceae bacterium	19	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	NA
Burkholderia sp. LMG 13014	19	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
